startTime(s),AoINumber,AoIBCEA,AoIBCEADisp,AoILempelZiv
0.0,2,21609.237940355295,21609.237940355295,8
3.24,3,10527.116081648748,10527.116081648748,10
6.48,5,8353.469642129046,6842.931693952327,15
9.72,6,14414.495857221586,10034.189492669391,17
12.96,6,14524.433061440492,10036.469856863603,18
16.2,6,14407.84019994695,7085.911318127585,18
19.44,6,12415.55404304488,8346.33997556348,17
22.68,5,13004.357397203612,6802.789946478067,14
25.92,6,15525.9583260199,11200.524754310049,14
29.16,5,13556.547274214885,10011.932285492021,13
32.4,3,39501.98249523412,23789.212006617334,11
35.64,3,29771.561889022403,13446.702710378124,10
38.88,4,19497.00969275563,7349.637292050162,11
42.12,4,20438.36081260256,5794.587885063353,11
45.36,4,15752.209841653219,11740.150222554234,10
48.6,4,15582.6178706369,5258.931766200277,12
51.84,4,21880.169846112913,14969.6385963814,13
55.08,7,8001.316914542314,7311.394942776803,15
58.32,5,27143.094832561917,13997.996777190197,16
61.56,6,24014.101490367564,16398.89190315869,15
64.8,6,18841.201189081392,11225.99160187252,14
68.04,5,24280.811901685218,10317.988679236316,14
71.28,6,16173.440192651497,6185.5941646522015,18
74.52,3,55047.13478453888,22054.58218984123,16
77.76,4,30897.141831378143,13793.14476142155,17
81.0,6,18252.74731351972,9144.428565823635,19
84.24,7,12202.798698508128,9022.849778930607,21
87.48,6,17113.964882501652,7783.457905740637,19
90.72,6,16098.737661353669,13415.853980718006,16
93.96,4,30715.332444697266,10288.469349590989,13
97.2,6,13104.379693970972,6387.38737441854,15
100.44,6,11146.459429436965,6981.118390083677,14
103.68,6,9958.045497334537,3669.5824404890795,15
106.92,6,10122.420685793253,6967.725103552543,15
110.16,6,9961.504061891897,6529.330355160365,15
113.4,5,10483.777900856932,8538.064579867652,13
116.64,4,10769.20103122701,5447.675070385157,11
119.88,3,18505.794438941997,5536.215985923456,10
123.12,3,18104.658970790817,3634.776297678312,10
126.36,3,19537.702657213635,7758.439393047181,10
129.6,3,38652.11116612362,11673.91137545417,12
132.84,3,37028.665238848684,11347.368310022584,11
136.08,4,18363.278383696597,13972.186985100103,14
139.32,4,17518.642311582218,15123.242741314845,12
142.56,3,27959.65650874327,13857.05904699301,14
145.8,4,12801.47001146502,12801.469666330162,12
149.04,3,18279.831151570088,7027.304459174668,12
152.28,3,14164.33047825493,5646.151505946804,13
155.52,3,19604.941853073415,8423.317095650305,14
158.76,4,18066.7966975544,7538.592926828211,17
