startTime(s),ecgSDNN,ecgRMSSD,ecgTriindex
0.0,32.049137,17.737309,4.875
3.2578125,25.877445,8.32365,5.428571
6.515625,21.517776,8.43053,4.875
9.7734375,20.105965,7.741505,4.875
13.03125,18.736603,7.8060727,5.571429
16.2890625,26.16662,24.079742,5.428571
19.546875,16.940125,8.142067,4.2222223
22.8046875,14.41548,7.329056,3.4545455
26.0625,13.328413,7.1366215,3.4545455
29.3203125,15.488354,6.8491216,3.8
32.578125,15.5334835,7.2441607,3.8
35.8359375,14.104456,6.8907866,4.875
39.09375,13.236241,6.721164,4.3333335
42.3515625,13.505942,7.1552258,4.3333335
45.609375,13.651022,6.946277,4.2222223
48.8671875,14.7977495,7.426874,4.2222223
52.125,20.462294,8.139734,4.3333335
55.3828125,19.645658,8.537661,4.2222223
58.640625,19.175234,8.513474,4.75
61.8984375,18.708693,8.268216,4.875
65.15625,17.044786,8.53162,3.4545455
68.4140625,32.546444,37.494217,3.0
71.671875,12.400897,6.2730865,3.0
74.9296875,12.115276,6.428521,2.3125
78.1875,12.279288,6.2087455,2.6
81.4453125,12.661769,6.428521,2.642857
84.703125,12.73303,6.5016127,3.4545455
87.9609375,29.165956,22.231983,3.4545455
91.21875,35.598335,35.946884,3.0
94.4765625,10.177967,6.864158,2.9230769
97.734375,17.603035,7.465719,3.3636363
100.9921875,19.244934,8.360726,3.8
104.25,18.401506,8.573812,4.2222223
107.5078125,20.785187,8.85189,4.2222223
110.765625,28.865042,11.772879,6.1666665
114.0234375,32.648064,12.756335,6.0
117.28125,47.4994,36.76224,5.285714
120.5390625,57.244457,41.310375,6.1666665
123.796875,30.56967,14.119987,4.375
127.0546875,40.34988,38.360035,4.0
130.3125,17.440401,11.033736,4.0
133.5703125,14.801102,9.255658,4.0
136.828125,16.677345,10.748527,4.0
140.0859375,15.265901,9.237977,3.6
143.34375,36.673183,37.039852,4.75
146.6015625,14.979886,7.6825676,4.111111
149.859375,15.289186,8.127039,4.5
153.1171875,16.599398,7.399058,3.1666667
156.375,9.638543,5.605449,2.6
159.6328125,37.51426,36.51489,3.0
